FUID,Number_of_Occurrences,Platforms,Platform_Count
FUID-OPENE:08257-57591-15,2,AZURE,1
FUID-OPENE:08257-57590-24.04,2,AZURE,1
FUID-TRANS:07382-30272-00,2,"AWS, AZURE",2
FUID-DATAD:01596-21911-00,2,"AWS, AZURE",2
FUID-PCLOU:00218-35194-00,2,AZURE,1
FUID-RIVER:02740-17579-flexvnf,2,"AWS, AZURE",2
FUID-HOSST:00723-29955-00,2,"AWS, AZURE",2
FUID-PCLOU:00218-26820-00,2,AZURE,1
FUID-BANSI:02130-35855-11,2,AZURE,1
FUID-TABLE:05951-35857-00,2,AZURE,1
FUID-HTCD:07271-29749-00,2,"AWS, AZURE",2
FUID-BRAND:06372-26695-00,2,AZURE,1
FUID-BANSI:02130-35950-8.5,2,AZURE,1
FUID-ACCEL:00933-2136-00,2,"AWS, GCP",2
FUID-BAYER:02240-56980-00,2,AZURE,1
FUID-APPS4:00107-2121-22.04,2,"AZURE, GCP",2
FUID-AVIAT:00363-9019-00,2,"AWS, AZURE",2
FUID-CUMUL:00546-39595-00,2,"AWS, AZURE",2
FUID-BCLOU:00337-56961-00,2,AZURE,1
FUID-BCLOU:00337-56960-00,2,AZURE,1
FUID-FIRST:16920-65531-00,2,AZURE,1
FUID-RIDGE:05027-29723-00,2,AWS,1
FUID-KORE:04681-17866-00,2,"AWS, AZURE",2
FUID-EKIME:00928-2091-00,2,"AZURE, GCP",2
FUID-HYPER:00632-2133-00,2,"AWS, GCP",2
FUID-BASIS:04669-17807-00,2,"AWS, AZURE",2
FUID-BLACK:09813-39525-00,2,"AWS, AZURE",2
FUID-ASKFO:01986-45476-11,2,AZURE,1
FUID-SOFTW:03224-12073-00,2,AWS,1
FUID-SOFTW:03224-12072-00,2,AWS,1
FUID-SOFTW:03224-12071-00,2,AWS,1
FUID-Y42:00896-1957-42,2,"AWS, GCP",2
FUID-LIGAD:06455-56843-00,2,AZURE,1
FUID-IBMSO:02537-9146-00,2,"AWS, AZURE",2
FUID-ATTAC:02659-62587-00,2,AZURE,1
FUID-INFRA:00476-26816-00,2,AZURE,1
FUID-INFRA:00476-35856-00,2,AZURE,1
FUID-TERAM:02800-9005-00,2,"AWS, AZURE",2
FUID-KORE:04681-17873-00,2,"AWS, AZURE",2
FUID-PCLOU:00218-62464-00,2,AZURE,1
FUID-HOOTS:09832-39572-00,2,"AWS, AZURE",2
FUID-KORE:04681-17874-00,2,"AWS, AZURE",2
FUID-HYPER:00632-2082-00,2,"AWS, GCP",2
FUID-INFRA:00476-35909-00,2,AZURE,1
FUID-KRATI:06355-26729-00,2,AZURE,1
FUID-SEMAR:00926-2078-00,2,"AZURE, GCP",2
FUID-SPLAS:11940-48327-00,2,AZURE,1
FUID-TRUEE:00925-2073-00,2,"AWS, GCP",2
FUID-COGIN:00923-2071-00,2,"AWS, GCP",2
FUID-WEBSO:02553-29707-00,2,"AWS, AZURE",2
FUID-BCLOU:00337-56938-00,2,AZURE,1
FUID-BCLOU:00337-56937-00,2,AZURE,1
FUID-PRIME:07156-29703-00,2,"AWS, AZURE",2
FUID-INTAP:06335-26739-00,2,AZURE,1
FUID-VEEAM:02452-9059-00,2,"AWS, AZURE",2
FUID-EPAY:06392-26745-00,2,"AWS, AZURE",2
FUID-COGNO:01048-71790-00,2,AZURE,1
FUID-START:00918-2049-00,2,"AZURE, GCP",2
FUID-BIRLA:06239-56917-00,2,AZURE,1
FUID-INFOS:02446-29681-00,2,"AWS, AZURE",2
FUID-KORE:04681-17872-00,2,"AWS, AZURE",2
FUID-KORE:04681-17871-00,2,"AWS, AZURE",2
FUID-KORE:04681-17870-00,2,"AWS, AZURE",2
FUID-KORE:04681-17869-00,2,"AWS, AZURE",2
FUID-CONSO:11090-45388-00,2,AZURE,1
FUID-REACH:02326-26689-00,2,AZURE,1
FUID-SOLAR:03956-29754-00,2,"AWS, AZURE",2
FUID-CORRE:11972-48446-00,2,AZURE,1
FUID-AMPER:00969-2275-00,2,"AZURE, GCP",2
FUID-BCLOU:00337-5580-00,2,"AZURE, GCP",2
FUID-BCLOU:00337-3603-00,2,"AZURE, GCP",2
FUID-CISCO:01191-8008-00,2,"AWS, AZURE",2
FUID-PROCO:02218-13054-8.10,2,AWS,1
FUID-REDHA:01014-13048-00,2,AWS,1
FUID-COGNO:07432-30671-19c,2,AWS,1
FUID-MIRO:07468-30669-00,2,"AWS, AZURE",2
FUID-BANSI:02130-8028-20.04,2,AWS,1
FUID-YEAST:07467-30666-00,2,"AWS, AZURE",2
FUID-F5:01411-13097-00,2,"AWS, AZURE",2
FUID-SINEF:05623-22432-00,2,"AWS, AZURE",2
FUID-COGNO:01048-70412-00,2,AZURE,1
FUID-TIGER:02600-44459-00,2,AZURE,1
FUID-NUVEM:02313-34497-9.4,2,AZURE,1
FUID-CUBEB:01303-3612-00,2,"AZURE, GCP",2
FUID-SOLAC:01297-3602-00,2,"AZURE, GCP",2
FUID-CONTE:02964-39738-00,2,"AWS, AZURE",2
FUID-ZABBI:03534-13145-00,2,"AWS, AZURE",2
FUID-WOWZA:01295-3599-00,2,"AZURE, GCP",2
FUID-SIBRO:01293-3595-00,2,"AWS, GCP",2
FUID-KCLOU:02016-22481-24.04,2,AWS,1
FUID-SYNCP:02517-7894-6,2,AWS,1
FUID-TRIAN:02531-7921-00,2,AWS,1
FUID-ATHIN:02588-34543-00,2,AZURE,1
FUID-MOONT:08391-34548-00,2,AZURE,1
FUID-WAYDE:05631-22447-00,2,"AWS, AZURE",2
FUID-KCLOU:02068-34557-00,2,AZURE,1
FUID-PLURA:01632-30738-00,2,"AWS, AZURE",2
FUID-TEAMV:01255-3548-00,2,"AZURE, GCP",2
FUID-ARMIS:01179-3541-00,2,"AWS, GCP",2
FUID-ARCHE:02701-30688-00,2,"AWS, AZURE",2
FUID-JETWA:01134-13069-00,2,"AWS, AZURE",2
FUID-CANON:01519-13078-16.04,2,"AWS, AZURE",2
FUID-PROCO:02218-13081-8,2,AWS,1
FUID-KCLOU:02068-34382-00,2,AZURE,1
FUID-AMAZO:02462-22607-00,2,AWS,1
FUID-CISCO:01191-3750-00,2,"AWS, GCP",2
FUID-VARNI:01340-3746-00,2,"AWS, GCP",2
FUID-NGINX:01164-3745-8,2,"AWS, GCP",2
FUID-VARNI:01340-3743-00,2,"AWS, GCP",2
FUID-SILVE:01345-3741-00,2,"AZURE, GCP",2
FUID-KNOWB:02513-7886-00,2,"AWS, AZURE",2
FUID-JINA:01884-22596-1,2,"AWS, AZURE",2
FUID-JINA:01884-22595-2,2,"AWS, AZURE",2
FUID-NGINX:01164-3729-22.04,2,"AWS, GCP",2
FUID-SWXTC:01341-3725-00,2,"AWS, GCP",2
FUID-NGINX:01164-3719-9,2,"AWS, GCP",2
FUID-NGINX:01164-3718-24.04,2,"AWS, GCP",2
FUID-SWXTC:01341-3717-00,2,"AWS, GCP",2
FUID-VARNI:01340-3715-6,2,"AWS, GCP",2
FUID-PEPLI:01339-3713-00,2,"AWS, GCP",2
FUID-VARNI:01340-3738-6,2,"AWS, GCP",2
FUID-SPCOM:05378-25975-00,2,AWS,1
FUID-BARRA:01161-7888-00,2,"AWS, AZURE",2
FUID-DATAS:02519-7898-00,2,"AWS, AZURE",2
FUID-UJET:01258-3530-00,2,"AWS, GCP",2
FUID-ZUPLO:05617-22426-00,2,"AWS, AZURE",2
FUID-CHECK:07474-30720-00,2,"AWS, AZURE",2
FUID-PROCO:02218-13092-8,2,AWS,1
FUID-PLATF:05613-22421-00,2,"AWS, AZURE",2
FUID-PROCO:02218-13084-8,2,AWS,1
FUID-PEGAS:01263-3540-00,2,"AWS, GCP",2
FUID-SOUTH:00688-30755-00,2,"AWS, AZURE",2
FUID-VIRTU:00216-52728-10,2,AZURE,1
FUID-ARMIS:01179-34907-00,2,AZURE,1
FUID-PCLOU:00218-34884-00,2,AZURE,1
FUID-PCLOU:00218-61788-00,2,AZURE,1
FUID-TRADE:05348-26023-00,2,AWS,1
FUID-SOPHO:01141-3199-00,2,"AZURE, GCP",2
FUID-MISTR:00982-3161-00,2,"AZURE, GCP",2
FUID-PROCO:02218-12862-8.10,2,AWS,1
FUID-COREL:01126-3158-00,2,"AWS, GCP",2
FUID-TECNO:10901-44708-00,2,AZURE,1
FUID-SIRIO:08532-34875-00,2,AZURE,1
FUID-HOSST:00723-34934-00,2,"AWS, AZURE",2
FUID-STORM:02484-8185-00,2,"AWS, AZURE",2
FUID-LINKE:00046-22218-00,2,"AWS, AZURE",2
FUID-MINDT:09977-40581-00,2,"AWS, AZURE",2
FUID-VIRTU:00216-52732-11,2,AZURE,1
FUID-FIS:08305-34955-00,2,AZURE,1
FUID-KCLOU:02068-61811-00,2,AZURE,1
FUID-NETAP:00376-8162-00,2,"AWS, AZURE",2
FUID-REALV:16404-70782-00,2,AZURE,1
FUID-DBT:01111-3128-00,2,"AZURE, GCP",2
FUID-KCLOU:02068-34937-00,2,AZURE,1
FUID-REALV:16404-70780-00,2,AZURE,1
FUID-AXWAY:06632-40474-00,2,"AWS, AZURE",2
FUID-VERAX:05528-22100-00,2,"AWS, AZURE",2
FUID-COGNO:07432-30436-focal24x7,2,AWS,1
FUID-PROCO:02218-12835-8,2,AWS,1
FUID-CIRRU:08519-34822-00,2,"AWS, AZURE",2
FUID-WOLKS:08555-34961-00,2,AZURE,1
FUID-NYMIZ:05540-22145-00,2,"AWS, AZURE",2
FUID-ALGOL:07439-30472-00,2,"AWS, AZURE",2
FUID-UBIQS:01175-3356-00,2,"AWS, GCP",2
FUID-PROCO:02218-12875-8.10,2,AWS,1
FUID-UNSTR:02280-22154-00,2,"AWS, AZURE",2
FUID-PCLOU:00218-61793-00,2,AZURE,1
FUID-TECHL:00545-3152-00,2,"AWS, GCP",2
FUID-IBMSE:02081-12858-7.5.0,2,"AWS, AZURE",2
FUID-BCLOU:00337-3204-00,2,"AZURE, GCP",2
FUID-QUEST:02215-34868-00,2,AZURE,1
FUID-PCLOU:00218-61794-00,2,AZURE,1
FUID-OPENT:00714-8204-00,2,"AWS, AZURE",2
FUID-STREA:17382-66313-00,2,AZURE,1
FUID-COGNO:07432-30436-20.04,2,AWS,1
FUID-PROCO:02218-12915-8.10,2,AWS,1
FUID-ILLUM:01197-34840-00,2,"AWS, AZURE",2
FUID-VERIT:03837-22206-00,2,"AWS, AZURE",2
FUID-VERIT:03837-22207-00,2,"AWS, AZURE",2
FUID-COGNO:07432-30432-18.04,2,AWS,1
FUID-CDW:03252-16984-00,2,AWS,1
FUID-SUBLI:02594-8256-00,2,"AWS, AZURE",2
FUID-TALVI:06708-66336-00,2,AZURE,1
FUID-BCLOU:00337-3203-00,2,"AZURE, GCP",2
FUID-OUTPA:05275-22210-00,2,AWS,1
FUID-NVIDI:00356-3154-00,2,"AZURE, GCP",2
FUID-CLOUD:07436-30460-14.04,2,AWS,1
FUID-APORI:01893-22155-00,2,"AWS, AZURE",2
FUID-APPS4:00107-3178-22.04,2,"AZURE, GCP",2
FUID-AERA:09962-40513-00,2,"AWS, AZURE",2
FUID-INFOR:07440-30478-00,2,"AWS, AZURE",2
FUID-INFOS:02446-40510-00,2,"AWS, AZURE",2
FUID-THOUS:01349-3764-00,2,"AZURE, GCP",2
FUID-RIVER:01338-3712-00,2,"AWS, GCP",2
FUID-AUDIO:01178-7821-00,2,"AWS, AZURE",2
FUID-DTI:10860-44585-00,2,AZURE,1
FUID-KCLOU:02068-44746-00,2,AZURE,1
FUID-A10NE:01174-3355-00,2,"AZURE, GCP",2
FUID-JUNIP:00342-3353-00,2,"AWS, GCP",2
FUID-BUILD:12120-49096-00,2,AZURE,1
FUID-KODEM:01173-3352-00,2,"AWS, GCP",2
FUID-SUPPO:02546-12992-8,2,"AWS, AZURE",2
FUID-SILVE:03805-16798-00,2,"AWS, AZURE",2
FUID-FORTI:00617-8042-00,2,"AWS, AZURE",2
FUID-CANON:01519-16751-20.04,2,"AWS, AZURE",2
FUID-AMAZO:02462-13024-00,2,AWS,1
FUID-SOUTH:00688-30644-00,2,"AWS, AZURE",2
FUID-PCLOU:00218-44541-00,2,AZURE,1
FUID-BCLOU:00337-34675-00,2,AZURE,1
FUID-ONESI:01211-3427-00,2,"AWS, GCP",2
FUID-ATHIN:02588-52625-00,2,AZURE,1
FUID-DELL:01357-16776-00,2,"AWS, AZURE",2
FUID-BMCSO:00761-3415-00,2,"AWS, GCP",2
FUID-ATHIN:02588-30626-00,2,"AWS, AZURE",2
FUID-SIERR:04562-16781-00,2,AWS,1
FUID-CLOUD:07436-30620-14.04,2,AWS,1
FUID-PALOA:00932-16786-00,2,"AWS, AZURE",2
FUID-KNOWB:02513-30616-00,2,"AWS, AZURE",2
FUID-CANON:01519-13000-18.04,2,"AWS, AZURE",2
FUID-EFFIV:15320-57988-00,2,AZURE,1
FUID-GUARD:01196-3391-00,2,"AZURE, GCP",2
FUID-PLAIN:01171-3350-00,2,"AWS, GCP",2
FUID-LINKS:01170-3349-00,2,"AZURE, GCP",2
FUID-ARMIS:01179-3361-00,2,"AWS, GCP",2
FUID-PROCO:02218-12979-8,2,AWS,1
FUID-ITCON:04584-16864-00,2,"AWS, AZURE",2
FUID-PROCO:02218-12982-8.10,2,AWS,1
FUID-INTAP:06335-26607-00,2,AZURE,1
FUID-ABNOR:02599-8915-00,2,"AWS, AZURE",2
FUID-MESH:05304-45309-00,2,AZURE,1
FUID-VODY:00978-2266-00,2,"AWS, GCP",2
FUID-CYGNA:02539-17716-20,2,"AWS, AZURE",2
FUID-INFRA:00476-26611-00,2,AZURE,1
FUID-PCLOU:00218-35741-00,2,AZURE,1
FUID-SPIRE:04658-17718-00,2,"AWS, AZURE",2
FUID-AMDOC:00471-12263-00,2,AWS,1
FUID-AMDOC:00471-12262-00,2,AWS,1
FUID-AMPER:00969-2259-00,2,"AZURE, GCP",2
FUID-APPS4:00107-2256-11,2,"AZURE, GCP",2
FUID-POINT:07286-29837-5,2,"AWS, AZURE",2
FUID-KCLOU:02068-26608-00,2,AZURE,1
FUID-ANARI:00406-3099-17,2,"AZURE, GCP",2
FUID-HOSST:00723-19632-00,2,"AWS, AZURE",2
FUID-IOANY:02046-8285-20.04,2,AWS,1
FUID-INTAP:06335-34716-00,2,AZURE,1
FUID-NGINX:01164-3383-8,2,"AWS, GCP",2
FUID-HOSST:00723-30603-00,2,"AWS, AZURE",2
FUID-REDHA:01014-8095-00,2,AWS,1
FUID-THORN:01189-3377-00,2,"AWS, GCP",2
FUID-LOOKO:01187-3374-00,2,"AWS, GCP",2
FUID-NOTIO:03611-30597-00,2,"AWS, AZURE",2
FUID-AODN:05359-25933-00,2,AWS,1
FUID-DEVO:01182-3369-00,2,"AWS, GCP",2
FUID-PROCO:02218-12983-8,2,AWS,1
FUID-SYNAC:01169-3348-00,2,"AZURE, GCP",2
FUID-VIRTU:00216-52715-7.9,2,AZURE,1
FUID-CUTOV:02488-7824-00,2,AWS,1
FUID-CLOUD:07436-30573-12,2,AWS,1
FUID-AI21:00968-3320-1.5,2,"AWS, GCP",2
FUID-BISMA:08073-44605-00,2,AZURE,1
FUID-PCLOU:00218-61701-00,2,AZURE,1
FUID-ITRS:04577-16853-00,2,"AWS, AZURE",2
FUID-AI21:00968-3306-1.5,2,"AWS, GCP",2
FUID-ONPAG:14026-52688-00,2,AZURE,1
FUID-SILVE:03805-16744-00,2,"AWS, AZURE",2
FUID-LOADB:00351-16742-00,2,"AWS, AZURE",2
FUID-ENSIG:09752-61625-00,2,AZURE,1
FUID-PACKE:01334-3702-00,2,"AZURE, GCP",2
FUID-DOMO:02490-7828-00,2,"AWS, AZURE",2
FUID-NGINX:01164-3699-9,2,"AWS, GCP",2
FUID-NGINX:01164-3698-22.04,2,"AWS, GCP",2
FUID-PCLOU:00218-44350-00,2,AZURE,1
FUID-OPTNE:03661-30836-00,2,AWS,1
FUID-REDHA:01014-7849-00,2,AWS,1
FUID-COWLA:08428-34449-00,2,AZURE,1
FUID-IBMSO:02537-34452-00,2,"AWS, AZURE",2
FUID-PCLOU:00218-44371-00,2,AZURE,1
FUID-CISCO:01191-7868-00,2,"AWS, AZURE",2
FUID-BANSI:02130-34464-18.04,2,AZURE,1
FUID-ADDIN:17564-66629-00,2,AZURE,1
FUID-TIDAL:00029-7882-10,2,"AWS, AZURE",2
FUID-KCLOU:02016-22517-24.04,2,AWS,1
FUID-BITMO:01314-3635-00,2,"AWS, GCP",2
FUID-BITMO:01314-3634-00,2,"AWS, GCP",2
FUID-NGINX:01164-3703-24.04,2,"AWS, GCP",2
FUID-KBQUE:02284-49075-00,2,AZURE,1
FUID-KONTE:10865-44600-00,2,AZURE,1
FUID-REDHA:01014-34787-00,2,AZURE,1
FUID-RIVER:02740-16835-00,2,"AWS, AZURE",2
FUID-NEXTU:00612-40604-00,2,"AWS, AZURE",2
FUID-PCLOU:00218-34793-00,2,AZURE,1
FUID-ZERON:05565-22239-00,2,"AWS, AZURE",2
FUID-HOSST:00723-40601-00,2,"AWS, AZURE",2
FUID-HOSST:00723-40600-00,2,"AWS, AZURE",2
FUID-HOSST:00723-40599-00,2,"AWS, AZURE",2
FUID-HOSST:00723-40598-00,2,"AWS, AZURE",2
FUID-HOSST:00723-40597-00,2,"AWS, AZURE",2
FUID-HOSST:00723-40596-00,2,"AWS, AZURE",2
FUID-HOSST:00723-40595-00,2,"AWS, AZURE",2
FUID-CLOUD:07436-30542-2016,2,AWS,1
FUID-KCLOU:02068-34807-20,2,AZURE,1
FUID-PCLOU:00218-34809-00,2,AZURE,1
FUID-PCLOU:00218-34810-00,2,AZURE,1
FUID-PCLOU:00218-34782-00,2,AZURE,1
FUID-PCLOU:00218-34777-00,2,AZURE,1
FUID-REDHA:01014-34775-00,2,AZURE,1
FUID-COGNO:07432-30557-24,2,AWS,1
FUID-DEVIC:03808-34741-00,2,AZURE,1
FUID-PCLOU:00218-61683-00,2,AZURE,1
FUID-MESHS:01162-3340-00,2,"AWS, GCP",2
FUID-SUPPL:08616-66395-00,2,AZURE,1
FUID-PCLOU:00218-61685-00,2,AZURE,1
FUID-RINGC:09994-40643-00,2,"AWS, AZURE",2
FUID-APPGA:01159-3335-00,2,"AZURE, GCP",2
FUID-HOSST:00723-3332-00,2,"AZURE, GCP",2
FUID-CONTR:04485-16745-00,2,"AWS, AZURE",2
FUID-CUEND:05375-26091-00,2,AWS,1
FUID-SCREE:12078-48937-00,2,AZURE,1
FUID-PIPEC:06192-26082-00,2,AWS,1
FUID-DOCUM:10467-43461-00,2,AZURE,1
FUID-CARDI:13278-51415-00,2,AZURE,1
FUID-REDHA:01014-14067-00,2,AWS,1
FUID-PCLOU:00218-59277-00,2,AZURE,1
FUID-DEBIA:01979-6871-11,2,"AWS, GCP",2
FUID-HOSST:00723-14060-00,2,"AWS, AZURE",2
FUID-SAHAR:08125-43456-00,2,AZURE,1
FUID-APPS4:00107-5120-10,2,"AZURE, GCP",2
FUID-SUSE:00378-6885-12,2,"AZURE, GCP",2
FUID-APPS4:00107-5116-11,2,"AZURE, GCP",2
FUID-F5:01411-5114-200,2,"AWS, GCP",2
FUID-LOADB:00351-14047-00,2,"AWS, AZURE",2
FUID-SUSE:00378-6889-15,2,"AZURE, GCP",2
FUID-MPHAS:03333-41979-00,2,"AWS, AZURE",2
FUID-PCLOU:00218-59248-00,2,AZURE,1
FUID-PCLOU:00218-61832-00,2,AZURE,1
FUID-SILVE:03805-14076-00,2,"AWS, AZURE",2
FUID-APPS4:00107-5163-12,2,"AZURE, GCP",2
FUID-TECHL:00545-5168-00,2,"AWS, GCP",2
FUID-APPS4:00107-5177-11,2,"AZURE, GCP",2
FUID-RINNE:02099-14113-9.4,2,"AWS, AZURE",2
FUID-RINNE:02099-14111-8.10,2,"AWS, AZURE",2
FUID-AODN:05359-23642-1,2,AWS,1
FUID-RINNE:02099-14108-9.4,2,"AWS, AZURE",2
FUID-TIDAL:00029-33206-8.4,2,AZURE,1
FUID-APPS4:00107-5213-12,2,"AZURE, GCP",2
FUID-CLOUD:00646-6818-00,2,"AWS, GCP",2
FUID-HANWE:02119-59331-5.4,2,AZURE,1
FUID-NOUSI:04091-51375-00,2,AZURE,1
FUID-APPS4:00107-5148-11,2,"AZURE, GCP",2
FUID-TECHL:00545-6858-00,2,"AWS, GCP",2
FUID-CISCO:01191-43430-00,2,AZURE,1
FUID-KCLOU:02068-59292-00,2,AZURE,1
FUID-PCLOU:00218-42657-00,2,AZURE,1
FUID-NASAP:05821-24454-00,2,AWS,1
FUID-NVIDI:00356-6294-00,2,"AZURE, GCP",2
FUID-PINDR:01887-6296-00,2,"AWS, GCP",2
FUID-PROSP:07890-32281-00,2,"AWS, AZURE",2
FUID-AVATA:01889-6301-00,2,"AZURE, GCP",2
FUID-MAMBU:01817-5935-00,2,"AZURE, GCP",2
FUID-ELMCO:00538-14850-20.04,2,"AWS, AZURE",2
FUID-JETWA:01134-14851-00,2,"AWS, AZURE",2
FUID-WORKF:01451-5908-00,2,"AWS, GCP",2
FUID-EJADA:01814-5930-00,2,"AZURE, GCP",2
FUID-TECHL:00545-6306-00,2,"AWS, GCP",2
FUID-APORI:01893-6308-00,2,"AZURE, GCP",2
FUID-BASET:01894-6309-00,2,"AWS, GCP",2
FUID-RINNE:02099-14861-8.9,2,"AWS, AZURE",2
FUID-RINNE:02099-14862-9.4,2,"AWS, AZURE",2
FUID-APPS4:00107-6315-11,2,"AZURE, GCP",2
FUID-HUGGI:01898-6317-00,2,"AWS, GCP",2
FUID-NVIDI:00356-32269-2022,2,"AWS, AZURE",2
FUID-DIFFU:01808-5912-00,2,"AWS, GCP",2
FUID-CONCE:04249-24146-00,2,"AWS, AZURE",2
FUID-ALPHA:01891-6304-00,2,"AWS, GCP",2
FUID-RANDO:03529-32945-00,2,"AWS, AZURE",2
FUID-HAZEL:01753-5537-00,2,"AZURE, GCP",2
FUID-YUGAB:00962-5536-00,2,"AWS, GCP",2
FUID-F5:01411-5160-10,2,"AWS, GCP",2
FUID-FR0NT:01404-5158-00,2,"AZURE, GCP",2
FUID-AMPLO:07794-31800-4.0,2,"AWS, AZURE",2
FUID-CARTO:00087-23551-2018,2,AWS,1
FUID-AUTOP:08071-33222-00,2,AZURE,1
FUID-BITNA:00344-4981-00,2,"AZURE, GCP",2
FUID-SOLVE:10520-43558-00,2,AZURE,1
FUID-APPS4:00107-4965-11,2,"AZURE, GCP",2
FUID-JUMPC:01656-4964-00,2,"AZURE, GCP",2
FUID-ORTUS:04049-43541-00,2,AZURE,1
FUID-RINNE:02099-14115-8.10,2,"AWS, AZURE",2
FUID-TETHE:07755-31689-00,2,AWS,1
FUID-F5:01411-5034-00,2,"AWS, GCP",2
FUID-SUSE:00378-6905-4.3,2,"AZURE, GCP",2
FUID-SUSE:00378-6906-4.3,2,"AZURE, GCP",2
FUID-CANON:01519-6908-20.04,2,"AWS, GCP",2
FUID-CANON:01519-6910-22.04,2,"AWS, GCP",2
FUID-GREML:01678-5082-00,2,"AWS, GCP",2
FUID-APPS4:00107-5080-11,2,"AZURE, GCP",2
FUID-RINNE:02099-14027-8.8,2,"AWS, AZURE",2
FUID-RINNE:02099-14026-9.3,2,"AWS, AZURE",2
FUID-F5:01411-5073-00,2,"AWS, GCP",2
FUID-RINNE:02099-14025-9.3,2,"AWS, AZURE",2
FUID-BLUEB:01668-5033-00,2,"AWS, GCP",2
FUID-株式会社シ:13318-51472-00,2,AZURE,1
FUID-INFRA:00476-5067-2022,2,"AWS, GCP",2
FUID-SONYS:10497-43487-00,2,AZURE,1
FUID-RINNE:02099-14020-9.2,2,"AWS, AZURE",2
FUID-INTAP:06335-50067-00,2,AZURE,1
FUID-APPS4:00107-5061-12,2,"AZURE, GCP",2
